source_key_ko,source_key_target,target_language,score,confidence,dist_m,title_ko,title_target,link_method
AttractionService:2200:ko,AttractionService:2200:zht,zht,100,high,0,"갤러리 수정(한,영,중간,중번,일)",尋找釜山的隱藏藝術「水晶藝廊」,same_id
AttractionService:2202:ko,AttractionService:2202:zht,zht,100,high,0,"이바구캠프(한,영,중간,중번,일)",與社區一同成長的療癒空間「故事營」,same_id
AttractionService:2204:ko,AttractionService:2204:zht,zht,100,high,0,"디오티미술관(한,영,중간,중번,일)",日常中的藝術逗點「DOT美術館」,same_id
AttractionService:2206:ko,AttractionService:2206:zht,zht,100,high,0,"오륜대 순교자 성지(한,영,중간,중번,일)",跟隨信念與犧牲的足跡「五倫臺殉教者聖地」,same_id
AttractionService:2210:ko,AttractionService:2210:zht,zht,100,high,0,"갤러리 플레이리스트(한,영,중간,중번,일)",釜山現代美術的新興聖地「Gallery Playlist」,same_id
AttractionService:2218:ko,AttractionService:2218:zht,zht,100,high,0,"영도해돋이전망대 (한,영,중간,중번,일)",影島日出觀景臺,same_id
AttractionService:2220:ko,AttractionService:2220:zht,zht,100,high,0,"해광사(한,영,중간,중번,일)",在平靜大海前的寺廟「海光寺」安詳地迎接新年,same_id
AttractionService:2229:ko,AttractionService:2229:zht,zht,100,high,0,"륜 빌리지 (한,영,중간,중번,일)",融入森林療癒及文化芬芳的「輪Village」,same_id
AttractionService:2237:ko,AttractionService:2237:zht,zht,100,high,0,"내원정사(한,영,중간,중번,일)",內院精舍,same_id
AttractionService:2239:ko,AttractionService:2239:zht,zht,100,high,0,"홍법사(한,영,중간,중번,일)",弘法寺,same_id
AttractionService:2240:ko,AttractionService:2240:zht,zht,100,high,0,"부산어린이대공원 치유의숲(한,영,중간,중번,일)",釜山兒童大公園治癒林,same_id
AttractionService:2274:ko,AttractionService:2274:zht,zht,100,high,0,"동백섬(한,영,중간,중번,일)",優美自然景觀與悠久歷史交融出的「冬柏島」,same_id
AttractionService:2275:ko,AttractionService:2275:zht,zht,100,high,0,"중사도(한,영,중간,중번,일)",在能欣賞優美洛東江邊景致的「中沙島」開啟獨特的自然之旅,same_id
AttractionService:2284:ko,AttractionService:2284:zht,zht,100,high,0,"모퉁이극장(한,영,중간,중번,일)",在釜山舊城區遇見獨立電影院「BNK釜山銀行藝術電影院轉角劇場」,same_id
AttractionService:2288:ko,AttractionService:2288:zht,zht,100,high,0,"영주맨션(한,영,중간,중번,일)",生活痕跡化為藝術的空間「瀛州公寓」,same_id
AttractionService:2299:ko,AttractionService:2299:zht,zht,100,high,0,"황령산레포츠공원(한,영,중간,중번,일)",在市區大自然中爽快運動「荒嶺山休閒運動公園」,same_id
AttractionService:2314:ko,AttractionService:2314:zht,zht,100,high,0,"범어사 성보박물관(한,영,중간,중번,일)",在梵魚寺聖寶博物館深入感受佛教文化,same_id
AttractionService:2408:ko,AttractionService:2408:zht,zht,100,high,0,대룡마을,巷弄間也綻放藝術的村莊，機張 -大龍村,same_id
AttractionService:2491:ko,AttractionService:2491:zht,zht,100,high,0,"남포, 광복지하도상가",南浦、光復地下商街,same_id
AttractionService:2551:ko,AttractionService:2551:zht,zht,100,high,0,황령산봉수전망대,,same_id
AttractionService:2566:ko,AttractionService:2566:zht,zht,100,high,0,1934 기차 동래역,1934火車東萊站 (1934 기차 동래역) — 時光旅行展覽館,same_id
