kto_canonical_key,busan_canonical_key,dist_m,sim,title_kto,title_busan,category_busan,ct_kto
KorService2:2022923:ko,FoodService:2328:ko,141,0,"부산의 아름다운 낮과 밤을 느끼는 주경, 야경 여행",달타이,food,25
KorService2:2554068:ko,AttractionService:550:ko,141,0.059,부산영화체험박물관,"부산타워(한,영,중간,중번,일)",attraction,12
KorService2:2705418:ko,AttractionService:2753:ko,141,0,해운대 영무파라드호텔,지그재그아트센터,attraction,32
KorService2:2778487:ko,FoodService:1619:ko,141,0,금수복국 해운대본점,신흥관,food,39
KorService2:2832671:ko,AttractionService:415:ko,141,0,신발원,상해거리,attraction,39
KorService2:2832671:ko,FoodService:1262:ko,141,0,신발원,홍성방 본점,food,39
KorService2:2869454:ko,FoodService:1135:ko,141,0,그라치에,영도우,food,39
KorService2:2994179:ko,FoodService:1482:ko,141,0.111,전포공구길,반핀 서면전포점,food,12
KorService2:126857:ko,FoodService:102:ko,142,0,광복로패션거리,할매가야밀면,food,12
KorService2:1277679:ko,FoodService:1486:ko,142,0,부산타워,스톤스트리트,food,12
KorService2:2785272:ko,FoodService:1553:ko,142,0,고향연화,무진장횟집,food,39
KorService2:2785272:ko,FoodService:1806:ko,142,0,고향연화,무진장횟집 기장점,food,39
KorService2:2852620:ko,FoodService:1815:ko,142,0,코모도테이블,칙투칙,food,39
KorService2:2869936:ko,FoodService:1548:ko,142,0,우봉,초필살돼지구이,food,39
KorService2:2869936:ko,FoodService:1850:ko,142,0,우봉,초필살돼지구이 해운대 본점,food,39
KorService2:3559571:ko,FoodService:1486:ko,142,0,부산중구반려동물축제,스톤스트리트,food,15
KorService2:3576410:ko,FoodService:102:ko,142,0,광복로 겨울빛 트리축제,할매가야밀면,food,15
KorService2:2022923:ko,FoodService:1573:ko,143,0,"부산의 아름다운 낮과 밤을 느끼는 주경, 야경 여행",달타이,food,25
KorService2:2610457:ko,FoodService:1231:ko,143,0,부산의 가을은 영화로 들썩인다,어가초밥,food,25
KorService2:2705418:ko,FoodService:1597:ko,143,0,해운대 영무파라드호텔,차오란,food,32
KorService2:2736088:ko,FoodService:141:ko,143,0,시그니엘 부산,거대갈비,food,32
KorService2:2736088:ko,FoodService:1549:ko,143,0,시그니엘 부산,거대숯불구이,food,32
KorService2:2785611:ko,FoodService:969:ko,143,0,덕포시장,포항가자미물회국수말이전문점,food,38
KorService2:3469691:ko,FoodService:974:ko,143,0,호텔 더반,괘법쭈꾸미전문점,food,32
KorService2:3532608:ko,FoodService:1543:ko,143,0,호두스테이,삼오불고기,food,32
KorService2:3532715:ko,FoodService:1504:ko,143,0,누스테이 부산,킹콩스시,food,32
KorService2:2699332:ko,FoodService:1251:ko,144,0,더웨이브,톤쇼우 광안점,food,32
KorService2:2789451:ko,FoodService:239:ko,144,0,깃발집 국수전골,봉식당,food,39
KorService2:2875783:ko,FoodService:1588:ko,144,0,이레옥,르도헤,food,39
KorService2:2875783:ko,FoodService:1843:ko,144,0,이레옥,르도헤,food,39
KorService2:3044610:ko,FoodService:2332:ko,144,0.043,브라운도트 호텔 서면역점 비즈니스,롯데호텔 부산 블루헤이븐,food,32
KorService2:1018702:ko,FoodService:1618:ko,145,0,국제시장 먹자골목,신창국밥,food,12
KorService2:1399532:ko,AttractionService:286:ko,145,0,부산고등어축제,"송도해수욕장(한,영,중간,중번,일)",attraction,15
KorService2:1942233:ko,AttractionService:550:ko,145,0.077,대각사(부산),"부산타워(한,영,중간,중번,일)",attraction,12
