candidate_id,restaurant_name,image_url,http_status,mime_type,file_size_bytes,width,height,technical_status,visual_inspection_status,final_recommendation,decision_reason
busan-F-00066,석화정,https://www.visitbusan.net/uploadImgs/files/cntnts/20230608114815119_ttiel,200,image/jpeg,77021,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 77021B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00067,에테르,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418142653242_ttiel,200,image/jpeg,59150,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 59150B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00068,디저트시네마,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418140108273_ttiel,200,image/jpeg,145374,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 145374B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00069,북경,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819172514790_ttiel,200,image/jpeg,148311,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 148311B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00070,연산낙지해물탕,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819103408604_ttiel,200,image/jpeg,110049,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 110049B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00071,옻바다전복삼계탕,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819105118416_ttiel,200,image/jpeg,139039,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 139039B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00072,팔미초밥,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819110257649_ttiel,200,image/jpeg,103206,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 103206B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00073,다리집 본점,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819112147736_ttiel,200,image/jpeg,152225,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 152225B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00074,남촌,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417155301384_ttiel,200,image/jpeg,80246,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 80246B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00075,북경의자전거,https://www.visitbusan.net/uploadImgs/files/cntnts/20200820091146813_ttiel,200,image/png,1470111,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + PNG 확인 + 1470111B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00076,광안리 언양불고기 부산집,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418102343022_ttiel,200,image/jpeg,87103,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 87103B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00077,식당 3선 덕천점,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819154140644_ttiel,200,image/jpeg,135132,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 135132B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00078,함경면옥 덕천점,https://www.visitbusan.net/uploadImgs/files/cntnts/20200820091029413_ttiel,200,image/png,1791749,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + PNG 확인 + 1791749B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00079,홍옥당,https://www.visitbusan.net/uploadImgs/files/cntnts/20230531122205481_ttiel,200,image/jpeg,80406,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 80406B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00080,디에이블 송도점,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819132345743_ttiel,200,image/jpeg,58946,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 58946B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00081,몽실종가돼지국밥 감천문화마을 본점,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417173451717_ttiel,200,image/jpeg,58641,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 58641B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00082,식당 토성동,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819133843312_ttiel,200,image/jpeg,74976,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 74976B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00083,청죽,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819134238418_ttiel,200,image/jpeg,140501,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 140501B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00084,편의방,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418091306849_ttiel,200,image/jpeg,122884,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 122884B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00085,동원장수촌,https://www.visitbusan.net/uploadImgs/files/cntnts/20230607132213312_ttiel,200,image/jpeg,108925,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 108925B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00086,포항가자미물회국수말이전문점,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819143114772_ttiel,200,image/jpeg,107856,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 107856B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00087,괘법쭈꾸미전문점,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819161305335_ttiel,200,image/jpeg,156415,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 156415B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00088,삼진어묵 본점,https://www.visitbusan.net/uploadImgs/files/cntnts/20210415134915004_ttiel,200,image/jpeg,112622,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 112622B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00089,광명집,https://www.visitbusan.net/uploadImgs/files/cntnts/20250515142651174_ttiel,200,image/jpeg,90200,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 90200B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00090,명지첫집 국제신도시본점,https://www.visitbusan.net/uploadImgs/files/cntnts/20230607165446819_ttiel,200,image/jpeg,113257,1200,544,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 113257B + 1200×544px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00091,명품외식 육면정,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913100010495_ttiel,200,image/jpeg,151080,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 151080B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00092,호포갈비 문현점,https://www.visitbusan.net/uploadImgs/files/cntnts/20230601215049360_ttiel,200,image/jpeg,125061,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 125061B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00093,평산옥,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913104329974_ttiel,200,image/jpeg,122176,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 122176B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
busan-F-00094,공감식당,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913110103549_ttiel,200,image/jpeg,118054,1200,545,valid,not_inspected,use_candidate,"HTTP 200 + JPEG 확인 + 118054B + 1200×545px. 시각 검수 미실시, URL·포맷 기술 확인만 완료."
