candidate_id,title_ko,category,image_url,image_source_domain,prior_vb_rights_class,rights_status,classification_method,rights_basis,blocked_reason,review_reason
busan-A-00090,대신공원,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231192024538_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00091,"화명수목원(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231192531286_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00092,선암사,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231193124555_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00093,운수사,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231193736138_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00094,"스포원파크(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20251201114557109_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00095,"우암동 소막마을(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20200101164518953_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00096,"충렬사(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20200102125306322_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00097,부산커피박물관,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20200102141456051_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00098,사상생활사박물관,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20200102142920888_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00099,사직야구장,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20200110144727057_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
